description,goal,pledged,outcome,backers_count,country,currency,launch_date,end_date,category_id,subcategory_id
Seamless value-added standardization,4500.0,14649.0,successful,222,US,USD,2020-11-20,2021-11-27,cat3,subcat3
Triple-buffered fresh-thinking frame,19800.0,184658.0,successful,1884,US,USD,2020-09-20,2021-01-15,cat6,subcat14
Streamlined holistic knowledgebase,6200.0,13103.0,successful,218,AU,AUD,2020-11-03,2021-08-02,cat7,subcat21
Up-sized intermediate website,61500.0,168095.0,successful,6465,US,USD,2020-03-25,2021-02-19,cat6,subcat19
Future-proofed directional synergy,100.0,3.0,failed,1,US,USD,2020-09-16,2021-02-27,cat2,subcat2
Enhanced user-facing function,7100.0,3840.0,failed,101,US,USD,2020-08-01,2021-07-30,cat4,subcat4
Operative bandwidth-monitored interface,1000.0,6263.0,successful,59,US,USD,2020-11-25,2021-08-28,cat4,subcat4
Upgradable multi-state instruction set,121500.0,108161.0,failed,1335,CA,CAD,2020-09-03,2021-02-24,cat5,subcat7
De-engineered static Local Area Network,4600.0,8505.0,successful,88,US,USD,2021-06-24,2021-08-28,cat6,subcat10
Upgradable grid-enabled superstructure,80500.0,96735.0,successful,1697,US,USD,2020-11-03,2021-09-27,cat2,subcat2
Optimized actuating toolset,4100.0,959.0,failed,15,GB,GBP,2020-11-03,2021-10-17,cat2,subcat2
Decentralized exuding strategy,5700.0,8322.0,successful,92,US,USD,2020-05-03,2021-05-08,cat4,subcat4
Assimilated coherent hardware,5000.0,13424.0,successful,186,US,USD,2020-11-14,2021-10-24,cat4,subcat4
Multi-channeled responsive implementation,1800.0,10755.0,successful,138,US,USD,2021-04-07,2021-06-30,cat8,subcat15
Centralized modular initiative,6300.0,9935.0,successful,261,US,USD,2021-07-15,2021-10-12,cat2,subcat2
Reverse-engineered cohesive migration,84300.0,26303.0,failed,454,US,USD,2021-08-04,2021-09-13,cat2,subcat2
Compatible multimedia hub,1700.0,5328.0,successful,107,US,USD,2021-02-27,2021-10-02,cat2,subcat8
Organic eco-centric success,2900.0,10756.0,successful,199,US,USD,2020-10-26,2021-05-06,cat8,subcat15
Virtual reciprocal policy,45600.0,165375.0,successful,5512,US,USD,2021-08-29,2021-10-30,cat4,subcat4
Persevering interactive emulation,4900.0,6031.0,successful,86,US,USD,2020-05-15,2021-03-10,cat4,subcat4
Proactive responsive emulation,111900.0,85902.0,failed,3182,IT,EUR,2021-08-07,2022-01-13,cat2,subcat18
Extended eco-centric function,61600.0,143910.0,successful,2768,AU,AUD,2021-05-08,2021-09-24,cat4,subcat4
Networked optimal productivity,1500.0,2708.0,successful,48,US,USD,2021-03-23,2022-01-10,cat5,subcat5
Persistent attitude-oriented approach,3500.0,8842.0,successful,87,US,USD,2021-06-11,2021-06-24,cat5,subcat20
Triple-buffered 4thgeneration toolset,173900.0,47260.0,canceled,1890,US,USD,2021-10-07,2021-10-13,cat7,subcat12
Progressive zero administration leverage,153700.0,1953.0,live,61,US,USD,2021-07-09,2022-01-13,cat8,subcat15
Networked radical neural-net,51100.0,155349.0,successful,1894,US,USD,2021-06-18,2021-10-25,cat4,subcat4
Re-engineered heuristic forecast,7800.0,10704.0,successful,282,CA,CAD,2020-11-04,2021-07-15,cat4,subcat4
Fully-configurable background algorithm,2400.0,773.0,failed,15,US,USD,2021-09-13,2021-12-03,cat4,subcat4
Stand-alone discrete Graphical User Interface,3900.0,9419.0,successful,116,US,USD,2021-06-02,2021-12-31,cat6,subcat19
Front-line foreground project,5500.0,5324.0,failed,133,US,USD,2021-05-23,2021-06-21,cat7,subcat12
Persevering system-worthy info-mediaries,700.0,7465.0,successful,83,US,USD,2020-12-14,2021-04-24,cat4,subcat4
Distributed multi-tasking strategy,2700.0,8799.0,successful,91,US,USD,2021-03-28,2021-08-23,cat3,subcat3
Vision-oriented methodical application,8000.0,13656.0,successful,546,US,USD,2020-10-02,2021-07-25,cat4,subcat4
Function-based high-level infrastructure,2500.0,14536.0,successful,393,US,USD,2021-07-06,2021-11-05,cat5,subcat11
Profound object-oriented paradigm,164500.0,150552.0,failed,2062,US,USD,2020-02-25,2021-04-06,cat4,subcat4
Virtual contextually-based circuit,8400.0,9076.0,successful,133,US,USD,2021-07-20,2021-08-18,cat5,subcat20
Business-focused dynamic instruction set,8100.0,1517.0,failed,29,DK,DKK,2020-05-27,2021-03-20,cat2,subcat2
Ameliorated fresh-thinking protocol,9800.0,8153.0,failed,132,US,USD,2021-02-20,2021-04-10,cat3,subcat3
Front-line optimizing emulation,900.0,6357.0,successful,254,US,USD,2020-08-19,2021-01-25,cat4,subcat4
Devolved uniform complexity,112100.0,19557.0,canceled,184,US,USD,2021-02-15,2021-11-12,cat4,subcat4
Public-key intangible superstructure,6300.0,13213.0,successful,176,US,USD,2020-10-03,2021-02-19,cat2,subcat6
Secured global success,5600.0,5476.0,failed,137,DK,DKK,2020-12-13,2021-04-14,cat2,subcat17
Grass-roots mission-critical capability,800.0,13474.0,successful,337,CA,CAD,2021-03-11,2021-08-18,cat4,subcat4
Advanced global data-warehouse,168600.0,91722.0,failed,908,US,USD,2020-11-18,2021-08-16,cat5,subcat5
Self-enabling uniform complexity,1800.0,8219.0,successful,107,US,USD,2021-03-05,2022-02-20,cat3,subcat3
Versatile cohesive encoding,7300.0,717.0,failed,10,US,USD,2020-12-01,2021-09-28,cat1,subcat1
Organized executive solution,6500.0,1065.0,canceled,32,IT,EUR,2021-02-02,2021-03-26,cat4,subcat4
Automated local emulation,600.0,8038.0,successful,183,US,USD,2021-02-17,2021-06-09,cat4,subcat4
Enterprise-wide intermediate middleware,192900.0,68769.0,failed,1910,CH,CHF,2021-02-07,2021-10-24,cat4,subcat4
Grass-roots real-time Local Area Network,6100.0,3352.0,failed,38,AU,AUD,2020-04-28,2021-03-10,cat4,subcat4
Organized client-driven capacity,7200.0,6785.0,failed,104,AU,AUD,2020-11-26,2021-03-11,cat4,subcat4
Adaptive intangible database,3500.0,5037.0,successful,72,US,USD,2021-05-20,2021-06-21,cat2,subcat2
Grass-roots contextually-based algorithm,3800.0,1954.0,failed,49,US,USD,2021-11-23,2022-02-05,cat1,subcat1
Focused executive core,100.0,5.0,failed,1,DK,DKK,2020-12-05,2021-09-25,cat6,subcat10
Multi-channeled disintermediate policy,900.0,12102.0,successful,295,US,USD,2021-06-08,2021-09-04,cat5,subcat5
Customizable bi-directional hardware,76100.0,24234.0,failed,245,US,USD,2020-06-07,2021-05-24,cat4,subcat4
Networked optimal architecture,3400.0,2809.0,failed,32,US,USD,2021-01-12,2021-12-22,cat2,subcat8
User-friendly discrete benchmark,2100.0,11469.0,successful,142,US,USD,2021-02-03,2021-04-10,cat5,subcat5
Grass-roots actuating policy,2800.0,8014.0,successful,85,US,USD,2021-01-27,2021-05-15,cat4,subcat4
Enterprise-wide 3rdgeneration knowledge user,6500.0,514.0,failed,7,US,USD,2021-08-12,2021-11-18,cat4,subcat4
Face-to-face zero tolerance moderator,32900.0,43473.0,successful,659,DK,DKK,2021-03-20,2021-09-25,cat6,subcat14
Grass-roots optimizing projection,118200.0,87560.0,failed,803,US,USD,2021-07-17,2021-11-18,cat4,subcat4
User-centric 6thgeneration attitude,4100.0,3087.0,canceled,75,US,USD,2021-03-05,2021-07-26,cat2,subcat8
Switchable zero tolerance website,7800.0,1586.0,failed,16,US,USD,2021-03-28,2021-04-23,cat7,subcat12
Focused real-time help-desk,6300.0,12812.0,successful,121,US,USD,2020-12-09,2021-05-09,cat4,subcat4
Robust impactful approach,59100.0,183345.0,successful,3742,US,USD,2020-12-31,2022-02-06,cat4,subcat4
Secured maximized policy,2200.0,8697.0,successful,223,US,USD,2021-11-26,2021-12-02,cat2,subcat2
Realigned upward-trending strategy,1400.0,4126.0,successful,133,US,USD,2020-06-04,2021-04-11,cat5,subcat5
Open-source interactive knowledge user,9500.0,3220.0,failed,31,US,USD,2021-07-10,2021-08-03,cat4,subcat4
Configurable demand-driven matrix,9600.0,6401.0,failed,108,IT,EUR,2020-12-19,2021-10-06,cat1,subcat1
Cross-group coherent hierarchy,6600.0,1269.0,failed,30,US,USD,2020-07-31,2021-03-22,cat4,subcat4
Decentralized demand-driven open system,5700.0,903.0,failed,17,US,USD,2021-07-29,2021-09-25,cat2,subcat2
Advanced empowering matrix,8400.0,3251.0,canceled,64,US,USD,2020-03-24,2021-02-22,cat3,subcat3
Phased holistic implementation,84400.0,8092.0,failed,80,US,USD,2021-05-09,2021-08-03,cat6,subcat14
Proactive attitude-oriented knowledge user,170400.0,160422.0,failed,2468,US,USD,2021-05-30,2021-09-09,cat5,subcat13
Visionary asymmetric Graphical User Interface,117900.0,196377.0,successful,5168,US,USD,2021-03-18,2021-03-22,cat4,subcat4
Integrated zero-defect help-desk,8900.0,2148.0,failed,26,GB,GBP,2021-05-03,2022-01-25,cat5,subcat5
Inverse analyzing matrices,7100.0,11648.0,successful,307,US,USD,2021-04-18,2021-08-28,cat4,subcat4
Programmable systemic implementation,6500.0,5897.0,failed,73,US,USD,2020-05-31,2021-01-31,cat4,subcat4
Multi-channeled next generation architecture,7200.0,3326.0,failed,128,US,USD,2020-05-27,2021-04-14,cat5,subcat11
Digitized 3rdgeneration encoding,2600.0,1002.0,failed,33,US,USD,2020-04-10,2021-04-15,cat4,subcat4
Innovative well-modulated functionalities,98700.0,131826.0,successful,2441,US,USD,2020-09-01,2021-05-03,cat2,subcat2
Fundamental incremental database,93800.0,21477.0,live,211,US,USD,2021-04-06,2021-06-16,cat7,subcat12
Expanded encompassing open architecture,33700.0,62330.0,successful,1385,GB,GBP,2021-01-05,2021-04-18,cat5,subcat5
Intuitive static portal,3300.0,14643.0,successful,190,US,USD,2021-01-30,2021-06-25,cat1,subcat1
Optional bandwidth-monitored definition,20700.0,41396.0,successful,470,US,USD,2020-07-30,2021-03-22,cat3,subcat9
Persistent well-modulated synergy,9600.0,11900.0,successful,253,US,USD,2020-10-28,2021-05-02,cat4,subcat4
Assimilated discrete algorithm,66200.0,123538.0,successful,1113,US,USD,2020-06-27,2021-05-04,cat2,subcat2
Operative uniform hub,173800.0,198628.0,successful,2283,US,USD,2020-02-27,2021-02-12,cat2,subcat2
Customizable intangible capability,70700.0,68602.0,failed,1072,US,USD,2020-11-06,2021-07-21,cat2,subcat2
Innovative didactic analyzer,94500.0,116064.0,successful,1095,US,USD,2020-06-17,2021-07-08,cat4,subcat4
Decentralized intangible encoding,69800.0,125042.0,successful,1690,US,USD,2020-12-20,2021-04-27,cat4,subcat4
Front-line transitional algorithm,136300.0,108974.0,canceled,1297,CA,CAD,2021-02-07,2022-02-10,cat4,subcat4
Switchable didactic matrices,37100.0,34964.0,failed,393,US,USD,2021-04-03,2021-12-23,cat8,subcat15
Ameliorated disintermediate utilization,114300.0,96777.0,failed,1257,US,USD,2021-02-10,2021-09-22,cat2,subcat8
Visionary foreground middleware,47900.0,31864.0,failed,328,US,USD,2021-02-17,2021-06-09,cat4,subcat4
Optional zero-defect task-force,9000.0,4853.0,failed,147,US,USD,2020-12-05,2021-07-13,cat4,subcat4
Devolved exuding emulation,197600.0,82959.0,failed,830,US,USD,2020-12-12,2021-06-18,cat7,subcat12
Open-source neutral task-force,157600.0,23159.0,failed,331,GB,GBP,2021-04-06,2021-08-09,cat5,subcat7
Virtual attitude-oriented migration,8000.0,2758.0,failed,25,US,USD,2021-10-07,2021-12-28,cat2,subcat8
Open-source full-range portal,900.0,12607.0,successful,191,US,USD,2021-05-03,2022-02-13,cat3,subcat3
Versatile cohesive open system,199000.0,142823.0,failed,3483,US,USD,2021-07-27,2021-11-21,cat1,subcat1
Multi-layered bottom-line frame,180800.0,95958.0,failed,923,US,USD,2021-05-27,2021-06-01,cat4,subcat4
Pre-emptive neutral capacity,100.0,5.0,failed,1,US,USD,2021-01-19,2021-07-25,cat2,subcat18
Universal maximized methodology,74100.0,94631.0,successful,2013,US,USD,2021-09-12,2021-10-05,cat2,subcat2
Expanded hybrid hardware,2800.0,977.0,failed,33,CA,CAD,2021-04-25,2021-07-05,cat4,subcat4
Profit-focused multi-tasking access,33600.0,137961.0,successful,1703,US,USD,2020-07-25,2021-04-16,cat4,subcat4
Profit-focused transitional capability,6100.0,7548.0,successful,80,DK,DKK,2020-11-22,2021-04-06,cat5,subcat5
Front-line scalable definition,3800.0,2241.0,live,86,US,USD,2020-08-28,2021-05-19,cat3,subcat9
Open-source systematic protocol,9300.0,3431.0,failed,40,IT,EUR,2021-10-12,2022-01-18,cat4,subcat4
Implemented tangible algorithm,2300.0,4253.0,successful,41,US,USD,2020-10-20,2021-08-25,cat7,subcat12
Profit-focused 3rdgeneration circuit,9700.0,1146.0,failed,23,CA,CAD,2021-03-05,2021-03-14,cat8,subcat15
Compatible needs-based architecture,4000.0,11948.0,successful,187,US,USD,2020-09-03,2021-07-16,cat5,subcat11
Right-sized zero tolerance migration,59700.0,135132.0,successful,2875,GB,GBP,2020-12-28,2021-12-26,cat4,subcat4
Quality-focused reciprocal structure,5500.0,9546.0,successful,88,US,USD,2021-03-07,2021-05-28,cat4,subcat4
Automated actuating conglomeration,3700.0,13755.0,successful,191,US,USD,2021-04-23,2022-01-26,cat2,subcat2
Re-contextualized local initiative,5200.0,8330.0,successful,139,US,USD,2021-03-12,2021-10-07,cat2,subcat2
Switchable intangible definition,900.0,14547.0,successful,186,US,USD,2020-11-25,2021-10-16,cat2,subcat8
Networked bottom-line initiative,1600.0,11735.0,successful,112,AU,AUD,2021-07-24,2021-09-11,cat4,subcat4
Robust directional system engine,1800.0,10658.0,successful,101,US,USD,2021-01-25,2021-07-21,cat4,subcat4
Triple-buffered explicit methodology,9900.0,1870.0,failed,75,US,USD,2021-05-12,2022-01-18,cat4,subcat4
Reactive directional capacity,5200.0,14394.0,successful,206,GB,GBP,2021-07-05,2021-10-15,cat5,subcat5
Polarized needs-based approach,5400.0,14743.0,successful,154,US,USD,2021-03-30,2021-06-02,cat5,subcat20
Intuitive well-modulated middleware,112300.0,178965.0,successful,5966,US,USD,2021-07-01,2021-08-19,cat4,subcat4
Multi-channeled logistical matrices,189200.0,128410.0,failed,2176,US,USD,2021-10-19,2021-10-24,cat4,subcat4
Pre-emptive bifurcated artificial intelligence,900.0,14324.0,successful,169,US,USD,2021-05-15,2021-12-02,cat5,subcat5
Down-sized coherent toolset,22500.0,164291.0,successful,2106,US,USD,2021-01-23,2021-06-25,cat4,subcat4
Open-source multi-tasking data-warehouse,167400.0,22073.0,failed,441,US,USD,2021-03-10,2021-04-06,cat5,subcat5
Future-proofed upward-trending contingency,2700.0,1479.0,failed,25,US,USD,2021-08-13,2021-11-21,cat2,subcat8
Mandatory uniform matrix,3400.0,12275.0,successful,131,US,USD,2020-06-23,2021-05-10,cat2,subcat2
Phased methodical initiative,49700.0,5098.0,failed,127,US,USD,2021-01-17,2021-12-09,cat4,subcat4
Managed stable function,178200.0,24882.0,failed,355,US,USD,2021-02-10,2021-07-26,cat5,subcat5
Realigned clear-thinking migration,7200.0,2912.0,failed,44,GB,GBP,2020-07-18,2021-01-31,cat4,subcat4
Optional clear-thinking process improvement,2500.0,4008.0,successful,84,US,USD,2020-12-26,2021-04-04,cat4,subcat4
Cross-group global moratorium,5300.0,9749.0,successful,155,US,USD,2020-12-08,2021-09-05,cat4,subcat4
Visionary systemic process improvement,9100.0,5803.0,failed,67,US,USD,2021-03-29,2021-06-11,cat8,subcat15
Progressive intangible flexibility,6300.0,14199.0,successful,189,US,USD,2021-04-18,2021-12-22,cat1,subcat1
Reactive real-time software,114400.0,196779.0,successful,4799,US,USD,2021-09-13,2021-12-16,cat5,subcat5
Programmable incremental knowledge user,38900.0,56859.0,successful,1137,US,USD,2020-04-20,2021-01-21,cat6,subcat10
Progressive 5thgeneration customer loyalty,135500.0,103554.0,failed,1068,US,USD,2021-06-20,2021-11-12,cat4,subcat4
Triple-buffered logistical frame,109000.0,42795.0,failed,424,US,USD,2021-07-18,2021-10-05,cat3,subcat9
Exclusive dynamic adapter,114800.0,12938.0,canceled,145,CH,CHF,2020-06-26,2021-03-09,cat2,subcat8
Automated systemic hierarchy,83000.0,101352.0,successful,1152,US,USD,2021-01-19,2021-08-26,cat4,subcat4
Digitized eco-centric core,2400.0,4477.0,successful,50,US,USD,2020-09-19,2021-05-17,cat8,subcat15
Mandatory uniform strategy,60400.0,4393.0,failed,151,US,USD,2021-11-21,2021-12-19,cat6,subcat10
Profit-focused zero administration forecast,102900.0,67546.0,failed,1608,US,USD,2021-01-07,2021-05-08,cat3,subcat9
De-engineered static orchestration,62800.0,143788.0,successful,3059,CA,CAD,2020-11-19,2021-08-28,cat2,subcat18
Customizable dynamic info-mediaries,800.0,3755.0,successful,34,US,USD,2020-06-26,2021-04-21,cat5,subcat5
Enhanced incremental budgetary management,7100.0,9238.0,successful,220,US,USD,2020-05-21,2021-02-20,cat4,subcat4
Digitized local info-mediaries,46100.0,77012.0,successful,1604,AU,AUD,2020-08-11,2021-09-07,cat5,subcat7
Virtual systematic monitoring,8100.0,14083.0,successful,454,US,USD,2020-09-21,2021-02-11,cat2,subcat2
Reactive bottom-line open architecture,1700.0,12202.0,successful,123,IT,EUR,2020-07-01,2021-04-06,cat5,subcat11
Pre-emptive interactive model,97300.0,62127.0,failed,941,US,USD,2021-05-28,2021-07-01,cat2,subcat8
Ergonomic eco-centric open architecture,100.0,2.0,failed,1,US,USD,2021-10-07,2021-11-25,cat8,subcat15
Inverse radical hierarchy,900.0,13772.0,successful,299,US,USD,2021-02-05,2021-08-08,cat4,subcat4
Team-oriented static interface,7300.0,2946.0,failed,40,US,USD,2020-10-28,2021-04-20,cat5,subcat13
Virtual foreground throughput,195800.0,168820.0,failed,3015,CA,CAD,2021-04-16,2021-08-22,cat4,subcat4
Visionary exuding Internet solution,48900.0,154321.0,successful,2237,US,USD,2021-04-07,2021-12-19,cat4,subcat4
Synchronized secondary analyzer,29600.0,26527.0,failed,435,US,USD,2021-03-26,2021-08-24,cat4,subcat4
Balanced attitude-oriented parallelism,39300.0,71583.0,successful,645,US,USD,2020-03-03,2021-03-10,cat5,subcat5
Organized bandwidth-monitored core,3400.0,12100.0,successful,484,DK,DKK,2021-05-03,2021-08-29,cat4,subcat4
Cloned leadingedge utilization,9200.0,12129.0,successful,154,CA,CAD,2020-05-04,2021-04-29,cat5,subcat5
Secured asymmetric projection,135600.0,62804.0,failed,714,US,USD,2021-02-11,2021-05-09,cat2,subcat2
Advanced cohesive Graphic Interface,153700.0,55536.0,live,1111,US,USD,2021-03-22,2021-12-29,cat7,subcat21
Down-sized maximized function,7800.0,8161.0,successful,82,US,USD,2021-03-21,2021-06-06,cat4,subcat4
Realigned zero tolerance software,2100.0,14046.0,successful,134,US,USD,2020-10-14,2021-01-17,cat6,subcat14
Persevering analyzing extranet,189500.0,117628.0,live,1089,US,USD,2021-04-12,2021-12-26,cat5,subcat11
Innovative human-resource migration,188200.0,159405.0,failed,5497,US,USD,2021-05-01,2021-08-28,cat1,subcat1
Intuitive needs-based monitoring,113500.0,12552.0,failed,418,US,USD,2021-02-01,2021-10-08,cat4,subcat4
Customer-focused disintermediate toolset,134600.0,59007.0,failed,1439,US,USD,2021-01-15,2021-03-09,cat5,subcat5
Upgradable 24/7 emulation,1700.0,943.0,failed,15,US,USD,2021-05-09,2021-06-26,cat4,subcat4
Quality-focused client-server core,163700.0,93963.0,failed,1999,CA,CAD,2020-12-09,2021-04-07,cat5,subcat5
Upgradable maximized protocol,113800.0,140469.0,successful,5203,US,USD,2021-04-28,2021-12-10,cat3,subcat3
Cross-platform interactive synergy,5000.0,6423.0,successful,94,US,USD,2021-08-08,2021-09-01,cat4,subcat4
User-centric fault-tolerant archive,9400.0,6015.0,failed,118,US,USD,2020-12-24,2021-03-18,cat3,subcat9
Reverse-engineered regional knowledge user,8700.0,11075.0,successful,205,US,USD,2020-09-27,2021-03-15,cat4,subcat4
Self-enabling real-time definition,147800.0,15723.0,failed,162,US,USD,2020-10-19,2021-07-20,cat1,subcat1
User-centric impactful projection,5100.0,2064.0,failed,83,US,USD,2021-06-02,2021-09-04,cat2,subcat8
Vision-oriented actuating hardware,2700.0,7767.0,successful,92,US,USD,2021-03-21,2021-09-25,cat8,subcat15
Virtual leadingedge framework,1800.0,10313.0,successful,219,US,USD,2020-11-08,2021-11-13,cat4,subcat4
Managed discrete framework,174500.0,197018.0,successful,2526,US,USD,2020-04-08,2021-04-15,cat4,subcat4
Progressive zero-defect capability,101400.0,47037.0,failed,747,US,USD,2021-06-02,2021-06-30,cat5,subcat11
Right-sized demand-driven adapter,191000.0,173191.0,canceled,2138,US,USD,2021-02-19,2021-06-13,cat8,subcat15
Re-engineered attitude-oriented frame,8100.0,5487.0,failed,84,US,USD,2021-04-17,2021-11-03,cat4,subcat4
Compatible multimedia utilization,5100.0,9817.0,successful,94,US,USD,2020-11-07,2021-09-06,cat4,subcat4
Re-contextualized dedicated hardware,7700.0,6369.0,failed,91,US,USD,2020-04-09,2021-03-11,cat4,subcat4
Decentralized composite paradigm,121400.0,65755.0,failed,792,US,USD,2020-06-12,2021-07-09,cat5,subcat5
Cloned transitional hierarchy,5400.0,903.0,canceled,10,CA,CAD,2020-07-04,2021-02-11,cat4,subcat4
Advanced discrete leverage,152400.0,178120.0,successful,1713,IT,EUR,2020-08-26,2021-08-19,cat4,subcat4
Open-source incremental throughput,1300.0,13678.0,successful,249,US,USD,2021-06-25,2021-10-01,cat2,subcat18
Centralized regional interface,8100.0,9969.0,successful,192,US,USD,2020-05-21,2021-05-10,cat5,subcat11
Streamlined web-enabled knowledgebase,8300.0,14827.0,successful,247,US,USD,2021-03-29,2022-01-21,cat4,subcat4
Digitized transitional monitoring,28400.0,100900.0,successful,2293,US,USD,2020-09-22,2021-07-09,cat5,subcat23
Networked optimal adapter,102500.0,165954.0,successful,3131,US,USD,2020-11-04,2021-03-08,cat5,subcat20
Automated optimal function,7000.0,1744.0,failed,32,US,USD,2020-09-24,2021-04-09,cat3,subcat9
Devolved system-worthy framework,5400.0,10731.0,successful,143,IT,EUR,2021-03-17,2021-08-26,cat4,subcat4
Stand-alone user-facing service-desk,9300.0,3232.0,canceled,90,US,USD,2020-11-15,2021-02-14,cat4,subcat4
Versatile global attitude,6200.0,10938.0,successful,296,US,USD,2020-10-28,2021-02-27,cat2,subcat8
Intuitive demand-driven Local Area Network,2100.0,10739.0,successful,170,US,USD,2020-09-11,2021-03-12,cat4,subcat4
Assimilated uniform methodology,6800.0,5579.0,failed,186,US,USD,2020-05-11,2021-03-29,cat3,subcat9
Self-enabling next generation algorithm,155200.0,37754.0,canceled,439,GB,GBP,2020-08-13,2021-06-11,cat5,subcat20
Object-based demand-driven strategy,89900.0,45384.0,failed,605,US,USD,2021-10-09,2021-11-29,cat7,subcat12
Public-key coherent ability,900.0,8703.0,successful,86,DK,DKK,2020-11-02,2021-04-07,cat7,subcat12
Up-sized composite success,100.0,4.0,failed,1,CA,CAD,2020-12-14,2021-07-06,cat5,subcat11
Innovative exuding matrix,148400.0,182302.0,successful,6286,US,USD,2020-12-31,2021-08-20,cat2,subcat2
Realigned impactful artificial intelligence,4800.0,3045.0,failed,31,US,USD,2021-02-14,2021-05-09,cat5,subcat7
Multi-layered multi-tasking secured line,182400.0,102749.0,failed,1181,US,USD,2020-05-20,2021-03-06,cat5,subcat23
Upgradable upward-trending portal,4000.0,1763.0,failed,39,US,USD,2021-11-17,2021-12-09,cat5,subcat7
Profit-focused global product,116500.0,137904.0,successful,3727,US,USD,2020-10-14,2021-10-06,cat4,subcat4
Operative well-modulated data-warehouse,146400.0,152438.0,successful,1605,US,USD,2021-11-14,2021-12-14,cat2,subcat8
Cloned asymmetric functionalities,5000.0,1332.0,failed,46,US,USD,2021-05-20,2021-10-03,cat4,subcat4
Pre-emptive neutral portal,33800.0,118706.0,successful,2120,US,USD,2021-01-16,2021-08-08,cat4,subcat4
Switchable demand-driven help-desk,6300.0,5674.0,failed,105,US,USD,2021-02-22,2021-04-01,cat5,subcat5
Business-focused static ability,2400.0,4119.0,successful,50,US,USD,2021-02-26,2021-08-10,cat4,subcat4
Networked secondary structure,98800.0,139354.0,successful,2080,US,USD,2020-03-21,2021-05-13,cat5,subcat7
Total multimedia website,188800.0,57734.0,failed,535,US,USD,2021-10-13,2021-11-02,cat7,subcat21
Cross-platform upward-trending parallelism,134300.0,145265.0,successful,2105,US,USD,2020-03-28,2021-03-08,cat5,subcat11
Pre-emptive mission-critical hardware,71200.0,95020.0,successful,2436,US,USD,2020-09-21,2021-02-26,cat4,subcat4
Up-sized responsive protocol,4700.0,8829.0,successful,80,US,USD,2021-04-09,2022-02-18,cat6,subcat19
Pre-emptive transitional frame,1200.0,3984.0,successful,42,US,USD,2021-04-16,2021-08-18,cat3,subcat9
Profit-focused content-based application,1400.0,8053.0,successful,139,CA,CAD,2021-06-05,2021-08-03,cat3,subcat3
Streamlined neutral analyzer,4000.0,1620.0,failed,16,US,USD,2021-01-17,2021-01-30,cat4,subcat4
Assimilated neutral utilization,5600.0,10328.0,successful,159,US,USD,2020-07-13,2021-05-04,cat5,subcat7
Extended dedicated archive,3600.0,10289.0,successful,381,US,USD,2021-04-16,2021-10-13,cat3,subcat9
Configurable static help-desk,3100.0,9889.0,successful,194,GB,GBP,2021-03-04,2022-01-01,cat1,subcat1
Self-enabling clear-thinking framework,153800.0,60342.0,failed,575,US,USD,2020-10-28,2021-02-27,cat2,subcat2
Assimilated fault-tolerant capacity,5000.0,8907.0,successful,106,US,USD,2021-02-21,2021-08-15,cat2,subcat6
Enhanced neutral ability,4000.0,14606.0,successful,142,US,USD,2021-02-03,2021-07-14,cat5,subcat20
Function-based attitude-oriented groupware,7400.0,8432.0,successful,211,US,USD,2021-07-02,2021-07-18,cat6,subcat19
Optional solution-oriented instruction set,191500.0,57122.0,failed,1120,US,USD,2021-06-26,2021-10-13,cat6,subcat14
Organic object-oriented core,8500.0,4613.0,failed,113,US,USD,2021-07-14,2021-08-23,cat5,subcat23
Balanced impactful circuit,68800.0,162603.0,successful,2756,US,USD,2020-09-12,2021-04-13,cat3,subcat9
Future-proofed heuristic encryption,2400.0,12310.0,successful,173,GB,GBP,2020-07-27,2021-08-21,cat1,subcat1
Balanced bifurcated leverage,8600.0,8656.0,successful,87,US,USD,2021-08-28,2021-09-22,cat8,subcat15
Sharable discrete budgetary management,196600.0,159931.0,failed,1538,US,USD,2021-06-12,2021-12-02,cat4,subcat4
Focused solution-oriented instruction set,4200.0,689.0,failed,9,US,USD,2021-01-21,2021-12-30,cat6,subcat14
Down-sized actuating infrastructure,91400.0,48236.0,failed,554,US,USD,2020-06-03,2021-05-15,cat4,subcat4
Synergistic cohesive adapter,29600.0,77021.0,successful,1572,GB,GBP,2021-06-19,2021-06-24,cat1,subcat1
Quality-focused mission-critical structure,90600.0,27844.0,failed,648,GB,GBP,2020-06-17,2021-05-22,cat4,subcat4
Compatible exuding Graphical User Interface,5200.0,702.0,failed,21,GB,GBP,2021-03-28,2021-09-06,cat6,subcat19
Monitored 24/7 time-frame,110300.0,197024.0,successful,2346,US,USD,2021-02-13,2021-09-15,cat4,subcat4
Virtual secondary open architecture,5300.0,11663.0,successful,115,US,USD,2021-01-13,2021-08-26,cat4,subcat4
Down-sized mobile time-frame,9200.0,9339.0,successful,85,IT,EUR,2021-06-07,2021-09-06,cat3,subcat9
Innovative disintermediate encryption,2400.0,4596.0,successful,144,US,USD,2020-11-28,2021-02-28,cat9,subcat24
Universal contextually-based knowledgebase,56800.0,173437.0,successful,2443,US,USD,2021-07-24,2021-08-08,cat1,subcat1
Persevering interactive matrix,191000.0,45831.0,canceled,595,US,USD,2020-11-07,2021-03-15,cat5,subcat13
Seamless background framework,900.0,6514.0,successful,64,US,USD,2020-03-24,2021-02-25,cat8,subcat15
